name,address,latitude,longitude,technicalPlatform,level,establishmentType,establishmentCode,services
FSU PUBLIC Marie Thérèse Houphouët Boigny d'ADJAME,,5.348721,-4.018313,,CENTRE_SANTE,PUBLIQUE,'0077,
FSU PUBLIC EDMOND BASQUE du PLATEAU (RAN),,5.32837,-4.027258333,,CENTRE_SANTE,PUBLIQUE,1243,
HG PUBLIC de ADJAME,,5.348999999,-4.0252,,CH,PUBLIQUE,0066,
HG PUBLIC Militaire de ADJAME (HMA),,5.380905,-4.007555,,CH,PUBLIQUE,0277,
HG PUBLIC POLICE NATIONALE de PLATEAU,,5.336300001,-4.0226,,CH,PUBLIQUE,6992,
ICT CENTRE D'INSTRUCTION NAVALE MARINE ATTECOUBE,,5.344028333,-4.038988333,,CENTRE_SANTE,PUBLIQUE,2583,
INF-LC PUBLIC Collège Notre Dame de PLATEAU,,5.327763,-4.022284,,CENTRE_SANTE,PUBLIQUE,0999,
INF-LC PUBLIC Lycée Municipal de ATTECOUBE,,5.314099999,-4.0343,,CENTRE_SANTE,PUBLIQUE,0991,
INF-M PUBLIC Camp Gallieni de PLATEAU,,5.3344,-4.0273,,CENTRE_SANTE,PUBLIQUE,1537,
POLYCLINIQUE INTERNATIONALEINDENIE du PLATEAU,,5.33844,-4.0193,,CLINIQUE_PRIVEE,PRIVE,1792,
CSR-DM PUBLIC de TOMEPLEU,,5.396309376,-3.98733449,,CENTRE_SANTE,PUBLIQUE,2283,
CENTRE MEDICAL BLEUTS (2 PLATEAUX),,5.366953597,-3.989847936,,CENTRE_SANTE,PRIVE,2403,
CENTRE MEDICAL INTERNATIONAL GOSPA,,5.34344,-4.00479,,CENTRE_SANTE,PRIVE,2402,
CHU PUBLIC de COCODY,,5.34458,-3.99464,,CHU,PUBLIQUE,7018,
CLINIQUE DE COCODY,,5.344243,-3.999144,,CLINIQUE_PRIVEE,PRIVE,2407,
CLINIQUE ESPERANCE (RIVIERA 3),,5.344900001,-3.9566,,CLINIQUE_PRIVEE,PRIVE,2405,
CLINIQUE LA PROVIDENCE,,5.347453333,-4.009666667,,CLINIQUE_PRIVEE,PRIVE,9723,
CLINIQUE LE PANTHEON,,5.36604,-4.01168,,CLINIQUE_PRIVEE,PRIVE,1837,
CLINIQUE LE ROCHER,,5.371050294,-4.001094103,,CLINIQUE_PRIVEE,PRIVE,2314,
